url_length,has_https,has_ip_address,num_dots,num_hyphens,num_underscores,num_slashes,num_questionmarks,num_equals,num_at_symbols,num_ampersands,num_digits,domain_length,path_length,subdomain_count,has_suspicious_words,domain_age_days,alexa_rank,google_index,page_rank,dns_record,web_traffic,links_in_tags,links_pointing_to_page,statistical_report,label
141,1,0,8,4,1,4,1,0,0,2,19,7,90,2,0,265,778938,1,1,1,94035,3,440,0,1
98,0,0,6,3,2,1,2,2,0,2,13,3,33,2,0,1146,391156,1,0,1,52966,37,226,0,1
69,0,1,7,2,2,7,2,1,0,0,19,48,26,1,0,612,124970,1,6,1,48035,20,206,1,1
23,1,0,4,4,2,4,0,0,0,2,11,16,96,1,0,1671,959265,1,4,1,90548,17,118,0,0
18,0,0,1,3,2,3,0,0,0,1,0,6,67,1,0,979,974635,1,4,1,40840,15,162,0,0
99,1,0,4,2,2,1,1,1,0,0,12,21,91,1,0,1404,731084,1,9,1,27735,19,487,0,0
62,1,0,8,3,2,4,1,1,0,3,6,49,70,2,0,1506,150400,1,1,1,13464,15,280,0,0
139,0,0,8,0,0,5,2,1,0,0,15,22,89,1,0,3228,932412,1,8,1,74700,41,263,1,0
93,1,0,2,0,2,4,2,2,1,0,2,9,25,2,0,1952,593842,1,3,1,75680,3,198,0,0
101,1,0,7,1,1,7,2,2,0,0,10,11,49,0,0,1837,388331,1,2,1,81532,29,27,1,0
120,0,0,1,1,1,1,0,3,0,0,17,41,20,2,1,838,376122,1,3,0,2775,35,339,0,0
197,1,1,2,1,2,5,1,2,0,2,9,36,16,1,0,3606,410533,1,2,1,88775,11,316,0,1
181,1,0,8,1,2,6,0,0,0,0,15,44,31,2,0,3505,910855,1,6,1,17466,42,100,1,1
17,1,0,4,3,1,4,0,2,0,2,18,15,26,2,0,1626,151012,1,5,1,1212,20,458,1,0
184,1,0,3,2,2,7,2,1,0,2,7,6,43,4,1,3076,378971,1,8,1,70760,8,369,0,0
44,1,0,2,2,1,4,2,1,0,3,5,38,65,1,0,425,426159,0,4,0,75432,37,470,0,0
90,1,0,6,1,1,1,2,2,0,2,2,21,89,3,0,2954,598648,1,7,0,47091,39,99,0,1
173,1,0,4,0,0,5,0,0,0,1,1,19,91,3,0,1268,297490,1,6,1,79007,46,105,1,0
59,1,1,3,4,0,5,2,3,0,3,16,27,84,2,0,1352,545206,0,8,1,14059,43,371,0,1
113,1,1,3,1,1,4,0,1,0,3,2,16,39,4,1,3200,481752,1,2,1,28841,20,72,0,1
141,1,0,3,1,2,6,0,4,0,2,2,7,34,2,0,1451,672468,1,1,1,6216,28,139,0,0
11,0,0,8,0,1,7,0,3,0,2,14,43,89,1,0,3036,280165,0,4,1,49338,27,309,0,1
143,1,0,9,4,1,3,1,4,0,0,4,48,20,0,0,196,681874,1,6,1,98053,7,430,0,0
63,1,0,9,3,2,1,0,4,0,2,13,9,5,2,0,3151,688103,1,3,1,57819,48,289,1,0
115,0,0,5,3,0,1,2,4,0,0,6,16,31,3,1,1869,907790,1,4,1,685,35,30,0,1
13,1,0,1,4,1,2,2,1,0,1,4,35,65,2,0,1343,512342,1,7,1,36300,5,200,0,0
63,0,0,5,4,0,5,1,1,0,3,13,14,11,1,0,1936,137246,0,1,1,90984,10,141,0,0
155,0,1,1,3,2,5,2,4,1,3,18,6,81,1,1,2376,89954,1,8,1,90090,3,461,0,1
53,1,0,9,1,0,2,2,4,0,2,10,8,13,3,1,1138,570466,1,6,1,54738,34,52,0,0
171,1,0,8,1,2,4,2,3,0,3,6,3,69,3,0,415,758471,1,4,1,91558,15,179,0,0
199,0,0,7,0,2,4,1,1,0,3,7,22,1,4,0,3296,327371,1,0,1,55614,18,372,0,1
23,1,0,2,4,0,1,0,4,0,1,3,28,22,4,0,1577,948338,0,0,1,10690,21,117,0,0
104,1,0,2,1,1,4,1,0,0,3,5,45,52,0,0,1286,656605,1,9,1,92799,11,168,0,0
57,0,0,4,1,1,3,1,1,0,0,4,25,15,3,0,934,302907,1,0,1,1481,42,293,0,0
24,1,0,9,0,2,3,2,1,0,3,9,14,17,4,1,2772,491689,1,0,1,27727,38,400,0,0
199,1,0,9,4,0,3,2,0,0,0,17,15,1,3,0,142,399282,1,0,1,60841,29,225,0,0
49,1,0,8,0,0,2,1,4,0,0,16,20,65,2,1,2529,206417,1,2,1,9202,9,45,0,1
91,1,0,5,0,0,6,0,2,0,0,13,33,44,4,0,1411,564216,0,2,0,28189,0,142,0,1
120,1,0,7,3,0,7,1,1,0,0,12,48,51,3,0,3319,954092,1,3,1,47377,13,276,0,1
62,0,0,9,0,2,3,0,4,1,1,5,30,86,3,0,1419,59358,1,4,1,91256,5,363,0,0
33,0,0,3,4,0,2,2,0,0,1,15,7,55,2,0,3297,209837,0,2,1,66173,35,255,0,1
163,1,0,4,1,0,1,1,0,0,3,9,41,47,3,0,1083,327278,1,9,0,47328,1,137,0,1
197,1,0,2,1,1,1,0,1,0,1,6,22,65,4,0,1525,90442,1,6,1,31598,38,467,0,0
133,0,0,9,3,2,6,1,0,0,0,0,22,51,4,0,1846,620440,1,8,1,95076,22,81,0,1
50,1,1,7,4,0,3,1,0,0,1,10,36,9,0,0,2484,176465,1,5,1,42604,15,457,0,1
166,1,1,6,1,0,2,2,4,0,2,5,16,15,0,0,3028,264463,1,4,1,70940,12,65,0,1
24,0,0,5,0,2,3,0,0,0,2,3,17,51,4,0,2725,171243,1,7,1,43718,14,395,0,1
54,0,0,7,2,2,6,0,2,1,1,10,38,21,0,0,3514,887867,1,3,1,63171,33,155,0,1
74,1,0,3,2,1,6,0,4,0,2,1,32,62,0,0,2026,481137,0,0,1,42714,2,133,1,0
98,1,1,5,2,2,4,0,4,1,3,8,20,15,2,0,112,246854,1,7,1,26208,49,103,0,1
80,0,0,2,2,0,2,0,1,0,2,6,36,58,1,0,2088,139406,0,6,1,24625,25,185,0,1
18,1,0,5,0,1,2,2,4,0,3,13,28,32,0,0,1663,537936,1,8,1,14339,17,100,1,0
97,1,0,7,1,0,2,1,1,0,1,4,38,39,1,1,731,560114,1,9,1,41452,46,325,0,0
138,1,0,7,3,2,2,2,0,0,0,17,49,87,0,0,386,298104,1,5,1,23451,8,312,1,0
145,0,0,9,0,2,4,1,3,0,1,16,46,24,1,0,192,166519,0,4,1,94621,45,479,0,1
72,1,0,3,1,2,7,0,2,0,3,13,21,40,3,0,167,939467,1,1,1,86296,10,124,0,0
148,1,0,8,4,1,3,2,2,0,2,15,44,10,1,0,1930,714826,1,3,1,55661,20,447,0,0
90,1,0,5,1,0,1,1,0,0,1,18,6,38,1,1,1907,697033,1,3,1,51049,42,381,0,1
145,1,0,7,1,0,6,1,3,0,1,10,44,11,3,0,2259,90233,1,5,1,45842,22,347,0,0
172,1,1,1,1,1,5,1,4,1,1,0,29,5,3,0,69,588892,0,0,1,988,1,227,0,1
172,1,0,1,0,2,5,0,3,0,3,4,5,3,0,0,827,406175,1,6,1,55750,29,146,0,0
42,1,0,4,1,0,2,2,4,1,2,10,46,53,0,0,757,310639,1,3,1,90291,13,274,0,0
132,0,0,5,1,2,2,1,4,0,1,19,14,76,1,1,3242,732945,1,6,1,71021,42,311,0,1
14,0,0,3,4,2,1,0,4,0,0,12,38,47,4,0,3430,13780,1,6,1,82920,5,12,0,0
50,1,0,6,4,0,5,2,3,0,3,1,41,65,1,1,1064,939625,1,0,1,56270,47,67,0,1
37,0,0,3,2,2,2,1,0,0,3,0,4,74,4,0,2199,382683,1,7,1,92325,12,122,1,0
144,0,0,5,0,0,6,0,4,0,2,10,44,90,3,1,312,269645,0,2,1,42639,20,171,0,1
81,1,0,1,1,0,6,1,0,0,0,3,36,32,1,0,1526,306011,1,1,1,86010,29,255,0,0
21,0,0,3,2,1,7,0,4,0,1,7,40,55,0,0,3382,740911,1,5,1,27281,20,165,0,0
171,0,0,7,2,0,4,2,0,0,2,17,33,46,2,0,621,74812,1,7,1,81618,1,113,0,1
42,0,0,3,0,1,5,1,0,0,3,10,7,40,0,0,1245,362802,0,4,1,49612,0,312,0,0
57,1,0,5,2,2,4,0,0,0,0,1,22,87,2,0,1149,299900,1,0,1,53950,42,256,0,0
160,1,0,7,2,1,1,0,1,0,1,3,40,85,4,0,874,173998,0,4,1,82022,47,132,0,0
71,1,0,2,0,2,1,0,3,0,3,9,13,22,0,0,809,808143,1,6,1,67088,25,148,0,0
46,1,0,3,3,1,7,2,4,1,1,19,33,35,1,0,1408,204856,0,0,1,96071,11,240,0,0
108,1,0,4,2,2,5,0,4,0,2,11,27,64,2,1,3289,455928,1,2,1,50752,16,48,0,0
181,1,0,5,4,0,6,1,1,0,0,17,6,87,3,0,83,312652,1,6,1,30988,14,456,0,0
113,1,0,9,2,1,3,2,0,0,2,14,23,76,1,1,1488,361501,1,1,1,44206,42,140,0,0
44,1,0,9,0,0,5,1,0,0,1,11,43,17,0,0,2527,650543,0,7,1,4081,12,469,0,0
110,1,0,4,0,0,4,0,4,0,1,0,3,6,3,1,2056,688804,1,5,1,57499,36,463,0,0
184,0,1,9,3,2,3,0,2,0,3,5,44,39,3,0,763,780882,0,4,1,50481,5,71,0,1
140,0,0,4,3,2,7,1,4,0,0,10,39,67,3,0,606,596817,1,4,1,2298,43,358,1,0
10,0,0,2,4,2,4,1,4,0,0,0,45,83,3,0,2714,516613,1,9,1,19326,16,41,0,1
14,1,0,1,4,2,4,2,1,0,1,5,30,73,1,1,2709,793595,1,8,0,685,28,421,0,1
151,1,0,7,2,1,4,0,0,0,1,7,3,70,4,0,2544,169625,1,8,1,13929,42,102,0,1
112,1,0,4,3,0,2,2,3,0,1,5,18,38,3,0,2047,721052,0,4,1,19256,11,343,0,0
36,0,0,8,4,2,3,0,4,0,3,19,4,42,4,0,1785,452115,1,3,1,23719,31,459,0,0
146,1,0,8,2,0,2,1,4,0,1,11,4,24,4,0,2478,948260,1,3,1,34571,28,22,0,1
24,1,0,8,1,1,2,2,3,0,0,17,45,82,0,1,3540,695307,1,7,1,89463,33,48,0,0
99,1,0,6,2,2,4,0,1,0,0,4,19,43,1,1,2793,748913,0,4,1,71228,26,165,0,1
51,1,0,9,4,1,1,1,2,0,3,4,24,83,3,0,2985,314983,1,6,1,91870,0,109,0,0
133,1,0,4,2,1,6,2,1,0,0,7,18,92,2,0,1560,891099,0,4,1,80870,29,300,0,0
188,1,0,5,1,0,5,2,4,0,3,18,15,68,0,0,258,167953,1,4,1,52283,25,20,0,0
72,1,0,4,4,0,1,2,1,0,2,1,9,93,1,0,2562,101061,1,2,1,28773,42,126,0,0
105,1,1,5,2,1,4,1,3,0,1,13,19,27,1,0,1731,436417,1,8,0,41794,8,282,0,1
61,0,0,2,4,1,5,2,1,0,1,16,23,38,4,0,2549,677704,1,3,1,72976,16,36,1,0
105,0,0,5,2,2,6,0,4,0,0,17,33,51,0,0,300,189469,1,6,1,49663,1,364,0,0
141,1,0,8,0,0,5,1,3,0,1,17,17,91,1,0,3195,671883,0,7,1,48821,43,87,0,1
160,0,0,9,4,1,6,2,3,0,0,16,45,59,0,1,36,25796,1,8,0,31835,0,114,1,1
152,1,0,7,4,1,4,1,4,0,1,7,25,25,1,1,1569,186806,1,4,0,82276,2,441,0,1
180,0,1,7,4,0,2,0,4,0,3,9,43,0,4,0,3515,353574,1,6,1,53357,9,456,0,1
38,1,0,6,4,1,5,2,4,0,1,3,48,10,3,0,110,861946,0,6,1,96629,46,430,0,1
45,1,1,2,2,2,6,1,2,0,3,18,28,0,3,0,2910,835440,1,3,0,34369,26,360,1,0
22,1,0,9,3,1,5,1,4,0,1,16,32,44,1,1,1240,84417,1,0,1,53232,31,147,0,0
169,1,1,5,2,1,5,0,1,0,3,12,13,13,1,1,129,11877,1,6,1,89443,25,96,0,1
80,1,0,6,1,0,5,0,0,0,3,7,40,84,0,0,1352,446727,1,0,1,29164,36,30,0,0
196,1,0,1,0,0,3,1,2,0,2,3,28,64,4,0,2141,641584,1,9,1,98206,0,459,1,0
95,0,0,5,2,2,2,2,2,0,0,4,8,13,0,0,2648,284080,1,7,0,1144,1,404,0,1
37,1,0,6,2,1,3,2,0,0,1,19,48,9,0,0,478,293893,0,5,0,92774,22,397,0,1
75,0,0,2,4,2,3,1,1,0,1,14,5,55,2,1,3100,305738,1,5,1,84083,45,479,0,0
179,1,0,7,1,1,6,0,2,0,0,19,27,89,2,0,3085,337338,1,1,1,2179,39,240,0,0
54,1,0,4,4,1,4,2,2,0,3,8,43,98,3,1,1819,969054,0,8,1,87644,20,73,1,1
71,1,1,5,4,0,2,2,4,0,2,0,17,83,4,0,767,615433,0,3,1,38416,7,447,0,1
194,1,0,3,3,2,1,0,3,0,0,9,23,2,4,1,2183,513380,1,3,1,37259,40,156,0,1
143,1,0,5,0,1,7,0,2,0,1,2,44,88,3,0,1066,829628,1,8,1,5249,31,123,0,0
37,1,0,4,3,1,2,0,1,0,0,12,8,49,4,1,2084,326767,0,2,1,36622,40,418,0,0
37,1,0,6,4,0,1,1,3,0,2,7,25,23,2,0,3610,633877,1,2,1,37226,48,163,0,0
117,1,0,2,0,0,6,1,0,0,2,13,14,50,2,0,2228,435872,1,0,1,73145,14,221,0,0
53,1,1,3,2,0,6,1,2,0,3,11,29,69,2,1,2636,935486,1,7,1,94587,17,128,0,1
93,1,0,1,1,2,5,0,1,0,1,10,17,59,0,1,552,770440,0,5,1,65940,14,93,0,1
39,1,1,7,3,2,6,1,0,0,1,14,10,65,1,0,2195,199446,1,8,1,6946,21,275,0,1
199,1,0,9,1,1,1,0,4,0,3,16,27,93,3,0,2231,946990,0,7,1,73407,6,255,0,0
84,1,0,2,4,2,7,1,4,0,3,1,45,3,0,0,2959,594132,1,5,1,63222,9,407,1,0
137,1,0,7,0,0,1,1,3,0,0,0,21,97,4,0,201,182082,1,9,1,34630,43,200,0,1
101,1,0,3,2,0,6,2,0,0,0,19,37,83,1,0,152,598538,1,1,1,40216,15,285,0,1
199,0,0,5,0,2,7,0,3,0,0,12,23,98,4,0,3138,85853,1,3,1,80667,27,305,0,1
138,1,1,6,1,1,7,2,0,0,0,11,20,17,3,0,1998,671704,1,3,1,85095,26,144,1,1
130,1,0,8,1,1,1,0,0,0,3,7,31,68,1,0,640,64987,1,4,1,20505,1,149,1,0
36,1,0,4,2,1,5,1,4,1,2,18,29,14,2,1,240,961452,1,6,1,36373,30,458,0,0
199,1,0,2,2,1,5,1,3,0,2,14,42,33,2,1,2359,352600,1,7,1,69381,47,273,0,0
130,1,0,3,0,0,3,1,4,0,0,9,12,39,1,1,639,35280,1,2,1,75923,38,308,0,0
125,0,0,8,3,2,1,0,0,0,0,19,7,37,2,0,270,457430,0,0,1,16812,19,487,0,1
12,1,1,7,0,0,2,0,4,0,3,1,24,18,2,0,2807,52285,1,1,1,38672,36,288,0,0
112,1,1,6,1,1,4,1,3,0,0,1,16,63,2,0,3023,173155,1,6,1,93493,4,458,0,0
164,0,0,5,0,1,3,2,3,1,1,17,42,84,3,1,586,944044,1,8,1,90195,28,22,0,1
146,0,1,5,4,0,1,1,1,0,2,0,3,67,1,0,1656,462576,1,3,1,90655,4,56,0,1
71,1,0,1,0,1,3,1,4,0,0,9,15,20,1,0,192,190141,1,0,1,99213,8,312,1,0
174,1,0,6,0,0,6,1,1,0,0,15,29,30,0,1,82,9638,0,5,1,94926,10,196,0,1
60,1,0,9,4,0,6,1,0,0,2,13,19,53,4,1,1289,503547,1,8,1,30828,4,118,0,0
181,0,0,8,1,0,6,2,4,0,2,10,10,89,4,0,2515,836481,0,3,1,24889,20,436,0,1
161,0,0,1,2,0,1,2,2,0,1,12,30,73,0,0,1736,468170,1,7,1,26809,30,140,0,0
68,1,0,6,0,1,1,2,1,0,1,18,28,7,4,0,774,221259,1,4,1,52664,38,264,0,0
127,1,0,3,3,1,3,0,3,0,3,15,22,81,2,0,2545,841347,1,1,1,3094,28,362,0,0
169,1,0,6,2,1,1,1,1,0,1,18,21,17,1,0,2873,102932,1,8,1,14186,17,37,0,0
105,1,0,9,3,2,7,0,4,0,1,3,16,57,0,0,1931,366885,1,9,1,69374,10,489,0,0
189,0,1,6,0,0,1,1,1,0,0,7,27,76,3,0,311,962052,0,2,1,51280,9,312,0,1
122,1,0,8,3,2,4,2,3,0,0,9,38,65,2,0,534,60801,0,0,0,77693,45,375,0,1
71,0,0,6,2,0,2,1,1,0,1,10,30,9,3,0,1766,93626,1,9,1,86691,30,127,1,0
195,1,0,6,3,0,5,2,1,0,3,12,10,48,2,0,3304,262818,0,8,1,51334,39,84,1,1
61,1,0,7,3,1,4,1,2,0,3,12,35,44,0,0,2239,10363,0,6,1,48512,20,298,0,0
21,0,1,4,2,0,5,1,0,0,2,12,8,63,1,0,2531,420898,1,5,1,81384,37,330,0,1
48,0,1,8,2,2,5,2,3,0,1,10,27,13,3,0,1113,522073,1,0,0,51586,35,409,0,1
139,0,0,4,2,1,2,1,0,0,2,15,3,66,1,0,1215,489997,0,0,1,42214,1,55,0,0
140,1,0,7,2,1,7,2,2,1,1,14,32,43,2,0,167,76597,0,5,1,71526,30,190,0,0
122,1,0,1,4,0,4,2,4,0,1,3,7,64,1,0,1225,729384,0,4,1,54147,12,318,0,0
110,0,0,9,0,1,1,1,4,0,0,1,11,78,1,1,605,590944,1,9,1,46649,28,362,1,1
122,1,0,9,2,2,2,2,2,0,1,15,10,44,1,0,3434,197836,1,3,1,10202,20,314,0,0
193,0,0,7,1,0,1,0,4,0,0,10,26,97,1,0,1508,136728,1,8,1,2853,20,75,0,1
90,1,1,8,3,2,1,0,4,0,3,16,27,35,1,1,1407,519761,1,0,1,43094,2,194,0,1
196,1,1,2,2,1,6,1,1,1,3,7,43,38,4,0,3305,38139,0,5,1,42069,41,498,0,1
122,1,0,7,2,2,1,2,1,0,1,1,10,73,1,0,3616,158868,1,9,1,64338,32,23,1,1
11,1,0,1,0,2,1,0,1,0,3,7,40,56,3,0,946,822757,0,1,1,37005,15,134,0,0
139,1,1,3,2,1,4,0,2,0,1,19,23,76,4,1,3517,877425,1,7,1,95531,21,438,0,1
63,1,0,6,4,0,5,2,4,0,2,16,21,30,3,0,3435,465496,1,6,1,36190,10,211,1,0
96,1,0,5,1,0,5,0,0,0,3,7,5,24,2,1,2915,274225,0,7,1,5048,17,84,0,1
138,1,0,5,1,1,4,0,3,0,1,0,41,20,3,0,1139,532543,1,6,1,42381,11,95,0,0
156,0,0,9,2,0,5,1,4,0,2,13,18,7,4,1,2154,691828,1,8,1,34753,39,156,0,1
135,0,0,6,0,2,6,1,2,0,2,4,3,7,2,0,3060,672907,1,3,0,63579,37,333,0,1
139,1,0,3,2,1,2,2,1,0,1,15,12,17,2,0,2783,547403,1,1,1,87140,35,307,0,1
62,1,0,2,3,1,1,2,3,0,3,16,8,16,1,0,2850,227827,1,7,1,63304,28,424,0,0
181,1,0,9,1,0,1,0,3,0,3,11,7,38,3,1,2705,663710,0,9,1,72574,9,261,0,1
169,1,0,4,3,0,7,1,3,0,1,19,19,73,1,1,2077,88706,0,0,1,13700,22,415,0,1
169,1,0,5,4,1,6,2,0,0,0,7,23,11,1,0,2360,566049,1,1,1,706,13,401,0,0
77,1,0,9,1,1,1,0,1,0,3,7,31,53,1,0,2578,798938,1,4,1,95555,45,36,0,1
192,1,1,5,1,1,3,1,1,0,3,1,33,68,1,0,3275,166958,1,8,1,95365,21,202,0,1
193,1,0,7,4,1,2,2,1,0,3,4,5,19,4,0,289,791956,1,5,0,81234,0,40,1,1
132,1,0,2,3,2,3,1,1,0,1,12,40,41,3,0,899,29716,1,4,1,88164,36,195,0,0
154,0,1,2,2,2,4,0,4,0,1,16,30,95,4,1,2071,361216,0,5,1,48797,20,215,0,1
47,1,0,4,0,1,3,0,3,0,1,2,30,36,4,0,3142,685852,0,7,1,18674,37,167,0,0
33,1,0,8,3,1,5,0,3,0,2,14,3,97,2,1,2031,696782,1,5,1,9887,31,117,0,0
78,1,0,2,4,1,5,1,3,0,3,11,14,26,1,0,2640,531485,1,6,1,1028,14,332,0,0
125,0,0,7,4,2,2,2,2,0,0,2,18,70,3,1,1326,164036,1,5,1,42394,39,246,0,1
107,0,1,1,4,0,3,2,1,0,3,9,27,15,3,0,2534,357078,1,2,1,78647,35,5,0,1
148,1,0,9,1,2,3,0,4,0,2,15,20,14,3,1,2417,58547,1,6,1,52125,38,464,1,1
153,1,0,6,2,1,1,0,4,0,3,18,10,60,3,0,279,284269,1,9,1,62583,21,154,0,0
106,1,0,1,1,1,2,0,2,0,1,2,8,59,1,1,527,671589,1,9,0,39332,48,25,0,1
133,1,0,6,1,1,1,0,2,0,3,9,11,0,2,0,3352,51457,1,2,1,97079,0,494,0,1
196,1,1,5,1,1,2,1,3,0,0,1,20,17,4,0,2130,241731,0,0,1,9093,41,328,0,1
79,1,0,5,4,2,7,0,3,0,3,14,32,82,2,0,1945,68153,0,4,1,98017,5,482,0,1
102,0,0,5,3,0,2,0,3,0,1,6,22,88,2,0,333,685185,0,2,1,52191,30,183,1,1
12,1,0,4,0,1,3,2,3,0,3,19,20,55,1,0,747,270041,1,7,1,48937,11,87,0,0
157,1,0,7,0,1,6,1,3,0,1,7,39,64,2,1,982,298656,1,5,1,30673,19,33,0,1
196,0,1,9,2,1,1,0,1,0,2,14,31,95,0,0,1118,347246,0,2,1,60330,18,155,1,1
173,1,0,4,2,0,4,1,4,0,2,7,13,95,3,0,3346,110811,1,8,1,65091,47,226,0,0
156,1,1,2,4,2,1,0,1,0,2,12,20,40,0,0,925,53826,1,4,1,78471,45,323,0,0
99,1,0,2,0,0,4,1,4,0,3,19,35,9,1,0,2614,219357,1,5,1,7576,40,470,0,0
156,1,0,2,3,2,5,0,0,0,3,3,5,56,3,0,2713,876966,1,8,1,43394,4,309,0,1
157,1,1,7,4,1,2,0,0,0,2,11,30,30,2,0,1095,984570,1,1,1,28636,20,266,0,1
105,0,0,4,2,0,7,1,0,0,2,11,7,20,2,1,2645,763848,1,1,1,11339,20,436,0,1
61,1,0,4,4,0,1,0,4,0,1,4,18,0,3,0,3482,158099,1,0,1,64364,28,95,0,0
